Combined_Key,Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case_Fatality_Ratio
"Hidalgo, Texas, US",US,20767,881,0,19886.0,2390.564367502507,4.242307507102614
"Hill, Texas, US",US,331,7,0,324.0,903.1624328085353,2.114803625377644
"Hockley, Texas, US",US,216,4,0,212.0,938.2737500542984,1.851851851851852
"Hood, Texas, US",US,588,10,0,578.0,953.8795970345377,1.7006802721088434
"Hopkins, Texas, US",US,205,3,0,202.0,552.799050803581,1.4634146341463414
"Houston, Texas, US",US,318,7,0,311.0,1384.5350052246606,2.2012578616352205
"Howard, Texas, US",US,178,6,0,172.0,485.48985380754965,3.3707865168539324
"Hudspeth, Texas, US",US,33,2,0,31.0,675.3990994678674,6.0606060606060606
"Hunt, Texas, US",US,1202,21,0,1181.0,1219.1411242063411,1.7470881863560732
"Hutchinson, Texas, US",US,129,3,0,126.0,616.1046900372527,2.3255813953488373
"Irion, Texas, US",US,9,0,0,9.0,585.9375,0.0
"Jack, Texas, US",US,68,0,0,68.0,761.0520425293788,0.0
"Jackson, Texas, US",US,411,9,0,402.0,2784.5528455284552,2.18978102189781
"Jasper, Texas, US",US,332,12,0,320.0,934.4479157871036,3.6144578313253017
"Jeff Davis, Texas, US",US,8,0,0,8.0,351.8029903254178,0.0
"Jefferson, Texas, US",US,6067,88,0,5979.0,2411.702740842327,1.4504697544090983
"Jim Hogg, Texas, US",US,64,1,0,63.0,1230.7692307692307,1.5625
"Jim Wells, Texas, US",US,787,16,0,771.0,1944.0739093918287,2.0330368487928845
"Johnson, Texas, US",US,2037,31,0,2006.0,1158.5910349966155,1.5218458517427589
"Jones, Texas, US",US,599,0,0,599.0,2982.622118209431,0.0
"Karnes, Texas, US",US,646,7,0,639.0,4140.760207678994,1.08359133126935
"Kaufman, Texas, US",US,2321,27,0,2294.0,1704.6873393363394,1.163291684618699
"Kendall, Texas, US",US,165,4,0,161.0,347.8737534523835,2.4242424242424243
